Node;Dist 1;Height 1;Dist 2;Height 2;Location;Question;comments
B0/C0;117.5;-10.5;118;-11;1;0;"Added B0 from raw data; location 1 in ft, location 2 and 3, first obs in ft 2nd obs in meters"
C1;127.5;-9;127.5;-9;1;0;
C11;124;-5;124;-5;1;0;
C12;124;-3.5;124;-4.5;1;0;
C13/C14;124;-2;124;-2.5;1;0;
C13a/C13b;124;-1;124;-0.5;1;0;
C13aXD31;119.5;9;118.5;9;1;0;modified from D32 based on future observations
C13aXD6;113.5;9;116.5;9.5;1;0;
D0;108;-4;107;-5;1;0;
D2;104.5;7.5;103.5;7.5;1;0;
D3;101.5;8.5;101.5;9;1;0;
D31/D32;101.5;10;101.5;10.5;1;0;
D4;99.5;10;99.5;9.5;1;0;
D41;99.5;10.5;96.5;10;1;0;
E0;112.5;7.5;107.5;8;1;0;
E2/E3;118;14.5;118;14.5;1;0;
E34;126.5;30.5;125;31;1;0;
E35;124.5;31;124;31;1;0;
E36;126;31.5;129;32;1;0;
F0;107.5;10;107.5;10;1;0;
F1;114;15.5;114;16;1;0;
F2;113.5;21;113;21;1;0;
F3;113;23;113;23;1;0;
F4/F5/F6;111;26;111;26;1;0;
F41;113;29.5;113;30;1;0;
F42;115.5;33.5;115.5;33.5;1;0;
F42.5;116;34.5;118.5;36;1;0;
F43/F44;116.5;36;116.5;36.5;1;0;
F42.5XE35;127.5;31;131;36.5;1;0;
F51;109;29;108;29;1;0;
F51a/F51b;104.5;31;104.5;31;1;0;
F52;105;32.5;105;33;1;0;
F53;103;35.5;103;35.5;1;0;
F54/F55;102;35.5;102;35.5;1;0;
F55XF42;98.5;36;98.5;36;1;0;
F42XF41;118;35;117;34;1;0;
F61/F62;114;31;115;31;1;0;
G1;113;13.5;113;14;1;0;
G11/G15;107;15;110;16;1;0;
G12;105;16;107.5;16.5;1;0;
G13/G14;106.5;16.5;106.5;17;1;0;
G2;109.5;18.5;109.5;18;1;0;
G21;102;20.5;102;20.5;1;0;
G22/G23;101;19.5;101;20.5;1;0;
G31/G23;93;23.5;93;23.5;1;0;
G15XD32;106;13;104;12;1;0;
B0/C0;NA;NA;43.2;-3.4;2;0;
C1;142.5;-9;43.8;-2.6;2;0;
C11;140;-5;42.4;-1.6;2;0;
C12;139;-4;42.4;-1;2;0;
C13/C14;140;-2;42.4;-0.6;2;0;
C13a/C13b;139;0;42.2;0;2;0;
B2/B3;137;2;51;0.2;2;0;
B21/B22/B23;179.5;10;54.4;2.6;2;0;
B31;170;6.5;51.8;1.8;2;0;
B32;170;7.5;51.8;2.6;2;0;
B33/B34;171;8.5;53.2;3.6;2;0;
D0;133;-2;40.4;-0.4;2;0;
D1;130;4;39.4;1.2;2;0;
D2;124;8;37.8;2;2;0;
D3;119.5;9;35.8;2.6;2;0;
D4;114.5;10;35.2;2.6;2;0;
D41;111.5;12.5;33.8;3.2;2;0;
C13aXD31;133.5;8.5;40.8;2.4;2;0;changed from C14a in raw data, D31 ambiguous
E0;NA;NA;NA;NA;2;0;
E2/E3;142;16;43.66;4.8;2;0;
E31;147.5;22.5;44.8;6.6;2;0;
E34;153;30;46.4;9;2;0;
E35;153;30;46.4;9.2;2;0;
E36;154;31;47;9.2;2;0;
E37/E38/E39;155;31;47;9.4;2;0;
F0;139.5;12.5;41.8;3.4;2;0;
F1;139;15.5;42.2;4.6;2;0;
F11;NA;15.5;43;5.2;2;0;obstruction in first observation
F2;138.5;21;42;6.4;2;0;
F3;138;24;41.8;7.2;2;0;
F4/F5/F6;137.5;26.5;41.6;8.2;2;0;
F41;139;28.5;42.4;9;2;0;
