Node;Dist 1 ;Height 1 ;Dist 2 ;Height 2 ;Location;Question
A0;47;3;37;3.5;1;0
B0/C0;44;9.5;45;9;1;0
C1;61;12;61;11.5;1;0
C11;58;15;58;15.5;1;0
C12;57.5;16.5;57.5;16.5;1;1
C13/C14;58;18.5;57;18;1;0
C14a/C14b;59.5;20;59.5;20.5;1;0
C14aXD31;52.5;29.5;52;29.5;1;0
C14aXD6;59;29;56.5;30.5;1;0
D0;43;19.5;43.5;19.5;1;0
D1;37;23.5;36;23.5;1;0
D11;22.5;24.5;23;25;1;0
D12;20;25;20.5;24.5;1;0
D13/D14;too close;;;;1;0
DXV;36.5;26;36.5;26.5;1;0
D2;37;27.5;27.5;37;1;1
D21;32;29.5;32.5;29.5;1;0
D22;29;29;29.5;28.5;1;0
D23/D24;26.5;27.5;27;27;1;0
D3;39;29.5;39;39;1;0
D3//D32;38;31;38;30.5;1;1
D4/D5/D6;39.5;35;39.5;31;1;1
D41(D42;38;30.5;38.5;30.5;1;0
D51/D52;43.5;30.5;43.5;30.5;1;0
D12XD13;too close;;;;1;0
D22XD14;too close;;;;1;0
D11XD22;too close;;;;1;0
D23XD22;17.5;27;21;30.5;1;0
E0;42.5;28;42.5;28;1;0
E2/E3;45;35;45;35;1;0
E21/E22;40.5;40;40.5;40;1;0
E31;49;42.5;50;43;1;0
E32;50.5;45.5;50.5;45.5;1;0
E33;51;48;51.5;48;1;0
F0/G0;42;31;41.5;31;1;0
F1;43;31;41.5;34.5;1;0
F2;40;39;40;39;1;0
F3;40.5;43;39;43;1;0
F4/F5/F6;37.5;47;37.5;46.5;1;0
F61/F62;41;49.5;40.5;50;1;0
F51a/F51b;31.5;51;30.5;51.5;1;0
G1;39.5;34;40;34.5;1;1
G11/G15;41;36.5;41;36.5;1;0
G12;40.5;37;40.5;37.5;1;0
G13/G14;40;38;40;37.5;1;0
G13XD32;33.5;34;32.5;35.5;1;0
GXV;;;;;1;0
A0;51.5;7;52;7.5;2;0
B0/C0;48;14;46;13.5;2;0
C1;51;16;52;16.5;2;0
C11;50;20;50.5;19.5;2;0
C12;50;21;50;21;2;0
C13/C14;51;23;52;23;2;0
C14a/C14b;50.5;24;50.5;24.5;2;0
C14aXB31;42;34;45.5;35.5;2;1
C14a/D6;41.5;34.5;44.5;34;2;1
D0;45;21.5;45;22;2;0
D1;35.5;29.5;36;29;2;0
D11;20;28.5;20.5;29.5;2;0
D12;16.5;28.5;18.5;28;2;0
D13/D14;14.5;30.5;14.5;29.5;2;0
DXV;33;30.5;33.5;31.5;2;0
D2;30.5;31.5;31.5;32.5;2;0
D21;23.5;33.5;23.5;34;2;0
D22;20.5;33.5;20.5;33;2;0
D23/D24;18.5;32;18.5;32;2;0
D3;28.5;33.5;28.5;33.5;2;0
D31/D32;28.5;35;28.5;35;2;0
D4/D5/D6;27;34.5;26;34;2;0
D41/D42;24;34.5;24;34;2;0
D51/D52;28.5;35;28.5;34.5;2;0
D12XD13;11.5;31;12;30.5;2;0
D22/D14;14.5;30.5;14.5;30.5;2;0
D11XD22;24.5;35;22.5;32;2;0
D23XD22;19;33;20;32.5;2;0
E0;43;33;46.5;33;2;0
E2/E3;45;37.5;47;37.5;2;0
E21/E22;49.5;45;50;45;2;0
E31;55;47.5;56.5;48;2;0
E32;58.5;50;58;50.5;2;0
E33;59.5;53.5;60.5;54;2;0
F0/G0;44;35;44.5;35.5;2;0
F1;44.5;39;43;37.5;2;0
F2;44.5;44;43.5;44;2;0
F3;44.5;47.5;45;47;2;0
F4/F5/F6;43.5;52;44;52;2;0
F61/F62;44;54.5;44;54.5;2;0
F51a/F51b;36;56.5;37;57;2;0
G1;42;39.5;40;38.5;2;0
G11/G15;35.5;41;35.5;41;2;0
G12;34.5;41.5;33.5;41;2;0
G13/G14;33;41.5;33;41.4;2;0
